Date,Disaster_Type,Country_Region,Affected_Area,Latitude,Longitude,Magnitude,Description
2026/1/17,森林火災,チリ,チリ中部,-33,-71,,大規模な森林火災
2026/1/19,洪水,モザンビーク,マプト,-25.97,32.57,,大規模洪水、住宅・インフラ被害
2026/1/29,熱帯低気圧,マダガスカル,アンタナナリボ,-18.88,47.51,,Cyclone Fytiaによる暴雨・洪水
2026/2/3,洪水,ブラジル,ミナスジェライス州,-19.9,-43.9,,長期間の豪雨・洪水
2026/2/6,熱帯低気圧,マダガスカル・モザンビーク,マダガスカル東部,-18.9,47.5,,Cyclone Gezaniによる暴風雨・洪水
2026/2/27,地震,バングラデシュ,バングラデシュ中部,23.7,90.4,M5.3,地震
2026/3/15,火山噴火,フィリピン,カンラオン火山,10.41,123.13,,Kanlaon火山噴火
2026/3/25,洪水・土砂災害,アフガニスタン,アフガニスタン各地,34.5,69.2,,大雨・洪水・土砂災害
2026/4/9,台風・暴風雨,ミクロネシア・グアム,グアム周辺,13.44,144.79,,Typhoon Sinlaku
2026/4/20,地震,日本,日本近海,39.8,143.2,M7.4,強い地震
2026/5/22,大雨・洪水,日本,沖縄県,26.2,127.7,,豪雨による洪水・土砂災害
2026/6/24,地震,ベネズエラ,ベネズエラ北部,10.6,-66.9,,大規模な地震活動
2026/6/26,地震,日本,千葉県東方沖,35.63,140.51,M5.8,地震
2026/7/6,洪水,中国,広西横州市,22.68,109.27,,洪水・土砂災害
2026/7/17,洪水・土砂災害,日本,群馬県・栃木県,36.6,139.1,,洪水・土砂災害
2026/7/26,洪水,中国,甘粛省,36.1,103.8,,山間部で洪水
2026/7/28,地震,日本,熊本県,32.6817,130.7217,M6.8,熊本県を中心に強い揺れ
2026/8/9,台風・洪水,中国,浙江省・温州市周辺,28.1,121.2,,Typhoon Dolphinによる大雨・洪水
2026/8/10,地震,コロンビア,Chocó州・San José del Palmar,4.72,-76.28,M7.4,コロンビア西部で強い地震
