Date,Disaster_Type,Country_Region,Affected_Area,Latitude,Longitude,Magnitude,Description
2026/1/17,森林火災,チリ,チリ中部,-33,-71,,大規模な森林火災
2026/1/19,洪水,モザンビーク,マプト,-25.97,32.57,,大規模洪水、住宅・インフラ被害
2026/1/29,熱帯低気圧,マダガスカル,アンタナナリボ,-18.88,47.51,,Cyclone Fytiaによる暴雨・洪水
2026/2/3,洪水,ブラジル,ミナスジェライス州,-19.9,-43.9,,長期間の豪雨・洪水
2026/2/6,熱帯低気圧,マダガスカル・モザンビーク,マダガスカル東部,-18.9,47.5,,Cyclone Gezaniによる暴風雨・洪水
2026/2/27,地震,バングラデシュ,バングラデシュ中部,23.7,90.4,M5.3,地震
2026/3/15,火山噴火,フィリピン,カンラオン火山,10.41,123.13,,Kanlaon火山噴火
2026/3/25,洪水・土砂災害,アフガニスタン,アフガニスタン各地,34.5,69.2,,大雨・洪水・土砂災害
2026/4/9,台風・暴風雨,ミクロネシア・グアム,グアム周辺,13.44,144.79,,Typhoon Sinlaku
2026/4/20,地震,日本,日本近海,39.8,143.2,M7.4,強い地震
2026/5/22,大雨・洪水,日本,沖縄県,26.2,127.7,,豪雨による洪水・土砂災害
2026/6/24,地震,ベネズエラ,ベネズエラ北部,10.6,-66.9,,大規模な地震活動
2026/6/26,地震,日本,千葉県東方沖,35.63,140.51,M5.8,地震
2026/7/6,洪水,中国,広西横州市,22.68,109.27,,洪水・土砂災害
2026/7/17,洪水・土砂災害,日本,群馬県・栃木県,36.6,139.1,,洪水・土砂災害
2026/7/26,洪水,中国,甘粛省,36.1,103.8,,山間部で洪水
2026/7/28,地震,日本,熊本県,32.6817,130.7217,M6.8,熊本県を中心に強い揺れ
2026/8/1,森林火災,ギリシャ,ギリシャ各地,38.2,23.7,,大規模な森林火災
2026/8/3,森林火災,アメリカ,ワシントン州・スポケーン周辺,47.66,-117.43,,Spokane地域で大規模森林火災、住宅・建築物に甚大な被害
2026/8/4,洪水・土砂災害,スリランカ,中央高地周辺,7.05,80.5,,豪雨による洪水・土砂災害
2026/8/5,火山噴火,グアテマラ,フエゴ火山,14.47,-90.88,,Fuego火山の大規模な噴火活動
2026/8/9,台風・洪水,中国・日本・マーシャル諸島,浙江省・温州市周辺,28.1,121.2,,Typhoon Dolphinによる大雨・洪水
2026/8/10,地震,コロンビア,Chocó州・San José del Palmar,4.72,-76.28,M7.4,コロンビア西部で強い地震
2026/8/13,大雨・洪水,日本,千葉県,35.61,140.12,,記録的豪雨による洪水・土砂災害
2026/8/14,地震,インドネシア,フローレス島・エンデ周辺,-8.31,121.35,M7.7,インドネシアで大規模地震、津波が発生
2026/8/14,森林火災,カザフスタン,カザフスタン各地,51.2,71.4,,大規模森林・草原火災
2026/8/17,森林火災,スペイン,スペイン各地,40.3,-3.7,,大規模森林火災
2026/8/20,森林火災,セルビア,デルリブラツカ・ペシュチャラ周辺,44.9,21.1,,大規模森林火災、住民避難
2026/8/23,地震,日本,北海道南部,41.83,142.83,M6.0,北海道南部で強い地震
2026/8/25,火山噴火,バヌアツ,アンバエ島・アンバエ火山,-15.4,167.83,,"アンバエ火山で大規模噴火、噴煙約15,000m"
2026/8/26,洪水・土砂災害,ネパール・中国,ネパール北部・チベット南部,28.03,85.19,,氷河・氷雪崩壊に伴う大規模洪水・土石流
2026/8/26,台風・暴風雨,中国・日本,沖縄・奄美・浙江省・福建省,27.9,127.2,,Typhoon Saudelによる暴風雨・大雨・洪水
2026/8/27,大雨・洪水・土砂災害,日本,石川県・富山県,36.8,136.9,,記録的豪雨による洪水・土砂災害
